,model_name,fold,data_type,kernel,run,f1_IAS,f1_SUA,f1_VA,f1_weighted,f1_macro,f1_micro,recall_IAS,recall_SUA,recall_VA,recall_weighted,recall_macro,recall_micro,precision_IAS,precision_SUA,precision_VA,precision_weighted,precision_macro,precision_micro,accuracy
0,SVM,0,MultiLabel,linear,,0.8442105263157895,0.6578947368421053,0.7307171853856563,0.7637476864473141,0.7442741495145171,0.7655011655011655,0.7566037735849057,0.5474452554744526,0.6537530266343826,0.6746096959737058,0.6526006852312469,0.6746096959737058,0.9547619047619048,0.8241758241758241,0.8282208588957055,0.8824184059752767,0.8690528626111448,0.884698275862069,0.8168316831683168
0,SVM,1,MultiLabel,linear,,0.8387096774193549,0.6332574031890661,0.7154255319148937,0.7506591775194812,0.729130870841105,0.7537174721189591,0.7589453860640302,0.5072992700729927,0.6497584541062802,0.6652994257588187,0.6386677034144344,0.6652994257588187,0.9372093023255814,0.8424242424242424,0.7958579881656804,0.8678979401638374,0.8584971776385014,0.8692390139335477,0.8094059405940595
0,SVM,2,MultiLabel,linear,,0.8352570828961176,0.6529680365296804,0.7411300919842313,0.7624052898784177,0.7431184038033432,0.7648698884758365,0.7495291902071564,0.5238095238095238,0.6811594202898551,0.6756978653530378,0.6514993781021784,0.6756978653530378,0.943127962085308,0.8666666666666667,0.8126801152737753,0.8816506696146481,0.8741582480085833,0.8811563169164882,0.8151815181518152
0,SVM,3,MultiLabel,linear,,0.8383733055265902,0.6405529953917051,0.7111716621253406,0.7506358298738185,0.7300326543478786,0.7541137752703339,0.7584905660377359,0.5072992700729927,0.6304347826086957,0.6584564860426929,0.6320748729064748,0.6584564860426929,0.9370629370629371,0.86875,0.815625,0.8804183962589136,0.8738126456876456,0.8822882288228823,0.8081683168316832
0,SVM,4,MultiLabel,linear,,0.8491735537190083,0.647450110864745,0.6929347826086957,0.7508538894013701,0.7298528157308164,0.7535962877030162,0.7740112994350282,0.5347985347985348,0.6159420289855072,0.6666666666666666,0.6415839544063567,0.6666666666666666,0.9405034324942791,0.8202247191011236,0.7919254658385093,0.8630425400872018,0.8508845391446375,0.8665955176093917,0.8155940594059405
0,SVM,0,MultiLabel,rbf,,0.8174863387978142,0.5843230403800475,0.6506024096385542,0.7083574920359058,0.6841372629388053,0.713,0.7056603773584905,0.4489051094890511,0.5230024213075061,0.5858668857847165,0.5591893027183493,0.5858668857847165,0.9714285714285714,0.8367346938775511,0.8605577689243028,0.9034780670052005,0.8895736780768084,0.9106002554278416,0.780940594059406
0,SVM,1,MultiLabel,rbf,,0.8115631691648822,0.5777777777777777,0.6539027982326951,0.705469165222313,0.6810812483917851,0.711595639246779,0.7137476459510358,0.42700729927007297,0.5362318840579711,0.5890073831009024,0.5589956097596933,0.5890073831009024,0.9404466501240695,0.8931297709923665,0.8377358490566038,0.8949281131888623,0.8904374233910133,0.8986232790988736,0.783003300330033
0,SVM,2,MultiLabel,rbf,,0.8232758620689655,0.5935162094763092,0.7,0.7298763612033277,0.7055973571817583,0.7353376047313948,0.71939736346516,0.4358974358974359,0.5917874396135265,0.6124794745484401,0.5823607463253742,0.6124794745484401,0.9622166246851386,0.9296875,0.8566433566433567,0.9190411041528392,0.916182493776165,0.9198520345252774,0.7962046204620462
0,SVM,3,MultiLabel,rbf,,0.7916666666666666,0.599009900990099,0.64,0.6967750789857311,0.6768921892189219,0.7011551983927674,0.6811320754716981,0.4416058394160584,0.5217391304347826,0.5730706075533661,0.5481590151075131,0.5730706075533661,0.9450261780104712,0.9307692307692308,0.8275862068965517,0.9019009304035231,0.9011272052254179,0.9029754204398448,0.7739273927392739
0,SVM,4,MultiLabel,rbf,,0.8159311087190527,0.5386533665835411,0.6119402985074627,0.6844458714197155,0.6555082579366854,0.692,0.7137476459510358,0.3956043956043956,0.49516908212560384,0.5681444991789819,0.534840374560345,0.5681444991789819,0.9522613065326633,0.84375,0.80078125,0.8764515117149788,0.8655975188442211,0.8849104859335039,0.773102310231023
0,SVM,0,MultiLabel,poly,,0.31746031746031744,0.08247422680412371,0.14253897550111358,0.2051935113231373,0.18082450658851823,0.21021897810218979,0.18867924528301888,0.043795620437956206,0.0774818401937046,0.11832374691865243,0.1033189019715599,0.11832374691865243,1.0,0.7058823529411765,0.8888888888888888,0.8960746719942428,0.8649237472766885,0.9411764705882353,0.5577557755775577
0,SVM,1,MultiLabel,poly,,0.3563748079877112,0.10921501706484642,0.20689655172413793,0.2500534127408004,0.22416212559223184,0.2556818181818182,0.2184557438794727,0.058394160583941604,0.11594202898550725,0.14766201804757997,0.13093064448297384,0.14766201804757997,0.9666666666666667,0.8421052631578947,0.96,0.9364043003324554,0.9229239766081871,0.9523809523809523,0.5726072607260726
0,SVM,2,MultiLabel,poly,,0.38484848484848483,0.07017543859649122,0.20556745182012848,0.2533804312355671,0.22019712508836817,0.26203966005665724,0.2391713747645951,0.03663003663003663,0.11594202898550725,0.15188834154351397,0.13058114679337965,0.15188834154351397,0.9844961240310077,0.8333333333333334,0.9056603773584906,0.9238184220746142,0.9078299449076107,0.9536082474226805,0.5754950495049505
0,SVM,3,MultiLabel,poly,,0.32339089481946626,0.1296928327645051,0.16810344827586207,0.22703434976847162,0.2070623919532778,0.2309899569583931,0.19433962264150945,0.06934306569343066,0.09420289855072464,0.13218390804597702,0.11929519562855491,0.13218390804597702,0.9626168224299065,1.0,0.78,0.9089547749489743,0.9142056074766355,0.9147727272727273,0.5631188118811881
0,SVM,4,MultiLabel,poly,,0.3819548872180451,0.07665505226480836,0.1822125813449024,0.24563290891450268,0.21360750694258526,0.25477707006369427,0.2391713747645951,0.040293040293040296,0.10144927536231885,0.1477832512315271,0.12697123013998476,0.1477832512315271,0.9477611940298507,0.7857142857142857,0.8936170212765957,0.8930366509346153,0.875697500340244,0.9230769230769231,0.5721947194719472
0,SVM,0,MultiLabel,sigmoid,,0.8380952380952381,0.6607929515418502,0.7198917456021651,0.7580632997918137,0.7395933117464177,0.7595884003741815,0.7471698113207547,0.5474452554744526,0.6440677966101694,0.6672144617912901,0.6462276211351256,0.6672144617912901,0.9542168674698795,0.8333333333333334,0.8159509202453987,0.8800788850893339,0.8678337070162039,0.8816503800217155,0.8135313531353136
0,SVM,1,MultiLabel,sigmoid,,0.8338557993730408,0.642369020501139,0.7032085561497327,0.7464437106894061,0.7264777920079708,0.7490671641791045,0.751412429378531,0.5145985401459854,0.6352657004830918,0.6587366694011485,0.633758890002536,0.6587366694011485,0.9366197183098591,0.8545454545454545,0.7874251497005988,0.8675016709959292,0.8595301075186375,0.8681081081081081,0.8056930693069307
0,SVM,2,MultiLabel,sigmoid,,0.8352570828961176,0.6482758620689655,0.7371202113606341,0.7599906312528477,0.7402177187752391,0.7627039627039627,0.7495291902071564,0.5164835164835165,0.6739130434782609,0.6715927750410509,0.6466419167229779,0.6715927750410509,0.943127962085308,0.8703703703703703,0.8134110787172012,0.8827292656546231,0.8756364703909599,0.8824163969795038,0.8147689768976898
0,SVM,3,MultiLabel,sigmoid,,0.8310598111227702,0.6323185011709602,0.7168262653898769,0.7475230238812154,0.7267348592278692,0.7513027001421128,0.7471698113207547,0.4927007299270073,0.6328502415458938,0.6510673234811166,0.6242402609312186,0.6510673234811166,0.9361702127659575,0.8823529411764706,0.8264984227129337,0.8867859323903652,0.8816738588851205,0.8880179171332587,0.8073432343234324
0,SVM,4,MultiLabel,sigmoid,,0.848800834202294,0.6322869955156951,0.6859504132231405,0.7449187716022849,0.7223460809803766,0.7480056311590803,0.7664783427495292,0.5164835164835165,0.6014492753623188,0.6543513957307061,0.6281370448651216,0.6543513957307061,0.9509345794392523,0.815028901734104,0.7980769230769231,0.8685164187270111,0.8546801347500933,0.872946330777656,0.8122937293729373
